"Stop ID","Stop Name","Latitude","Longitude","2022_Avg_Board","2022_Avg_Alight","2022_Max_Number_of_Days","2023_Avg_Board","2023_Avg_Alight","2023_Max_Number_of_Days","2021_Avg_Board","2021_Avg_Alight","2021_Max_Number_of_Days","2020_Avg_Board","2020_Avg_Alight","2020_Max_Number_of_Days","2019_Avg_Board","2019_Avg_Alight","2019_Max_Number_of_Days","2018_Avg_Board","2018_Avg_Alight","2018_Max_Number_of_Days","2017_Avg_Board","2017_Avg_Alight","2017_Max_Number_of_Days","Nearest_In","routes","Direction","Trans_P","Frequency_AM_Peak","Frquency_Midday","Frequency_PM_Peak","Frequency_Evening","Frequency_Late_Night"
"27370","Shamrock Dr & Foxford Pl",35.2350516,-80.7621741,15.33333333,4.916666667,31,14.36363636,1.727272727,31,21,4.416666667,31,4.75,1.166666667,31,16.66666667,2.416666667,31,21.75,3.166666667,31,73.16666667,10,31,"FOXFORD & TIPPERARY","23","inbound","not a transfer point",2,2,2,2,0
"27380","Shamrock Dr & Tipperary Pl",35.2347485,-80.7609813,76.91666667,13.91666667,31,130.5454545,36.54545455,31,81.25,6.583333333,31,119.8333333,13.25,31,196.9166667,22.25,31,232.4166667,16.91666667,31,248.5,22.16666667,31,"FOXFORD & TIPPERARY","23","inbound","not a transfer point",3,2,2,2,0
"27500","Sharon Amity Rd & Randolph Rd",35.1756531,-80.7994862,48.66666667,124,27,61.27272727,139.8181818,27,41,89.33333333,27,57.33333333,86.58333333,27,95.66666667,176.8333333,27,85.91666667,203.8333333,27,91.75,261.4166667,27,"RANDOLPH & ROBIN","28","inbound","not a transfer point",0,1,1,0,0
"27510","Sharon Amity Rd @ 338 (UPS Store)",35.1746136,-80.8020004,21.83333333,31.33333333,27,27.27272727,42.18181818,27,19,21,27,29.33333333,25.91666667,27,67.91666667,59.25,27,57.83333333,69.66666667,27,73.08333333,78.83333333,27,"RANDOLPH & ROBIN","28","inbound","not a transfer point",0,1,1,0,0
"27520","Sharon Amity Rd & Hardwicke Rd",35.1763406,-80.7966052,71.75,93.41666667,27,85.45454545,58.45454545,27,57.41666667,62.66666667,27,77.33333333,88.75,27,121.4166667,92.25,27,120.5,60.58333333,27,116.25,37.16666667,27,"COLWICK & HARDWICK","28","outbound","not a transfer point",1,1,1,0,0
"27530","Sharon Amity Rd & Randolph Rd",35.1751265,-80.800705,120.0833333,43.16666667,27,147.5454545,54,27,82.41666667,28.5,27,75.5,32.16666667,27,144,53.33333333,27,159.9166667,56.5,27,227.5,71.25,27,"RANDOLPH & ROBIN","28","outbound","not a transfer point",1,1,1,0,0
"27540","Sharon Amity Rd & Hardwicke Rd",35.1765071,-80.796459,0.833333333,3.166666667,27,15.81818182,78.09090909,27,1.5,3.25,27,5.666666667,11.41666667,27,26.25,138.5,27,22.5,136.4166667,27,25.58333333,166.6666667,27,"COLWICK & HARDWICK","28","inbound","not a transfer point",0,1,1,0,0
"27560","Sharon Amity Rd @ 309 (Cotswold Plaza II)",35.1746028,-80.8017866,19.75,17.08333333,27,24,20,27,13,15,27,15.66666667,26.08333333,27,34.33333333,66,27,45.41666667,62.25,27,35.75,53.91666667,27,"RANDOLPH & ROBIN","28","outbound","not a transfer point",1,1,1,0,0
"27570","Sharon Amity Rd & Clover Rd",35.1732115,-80.8048388,3.083333333,5.333333333,27,3.636363636,7.909090909,27,3.083333333,5.583333333,27,5.166666667,7.083333333,27,18.16666667,24,27,20.75,26,27,16.75,17.16666667,27,"WOODLARK & CLOVER","28","inbound","not a transfer point",0,1,1,0,0
"27580","Sharon Amity Rd & Water Oak Rd",35.1789521,-80.7902583,8.333333333,6.25,27,2.545454545,5.727272727,27,5.25,3.166666667,27,4,7.416666667,27,4.166666667,10.41666667,27,40.5,10.16666667,27,25.16666667,9.916666667,27,"NIGHT HERON & WATER OAK","28","outbound","not a transfer point",1,1,1,0,0
