Stop ID,Stop Name,Latitude,Longitude,2022_Avg_Board,2022_Avg_Alight,2022_Max_Number_of_Days,Year
23160,Queens Rd & Edgehill Rd South,35.2017345,-80.8326216,10.83333333,15.66666667,27,2022
23190,Queens Rd & Ardsley Rd,35.2005851,-80.8314763,11.33333333,7.583333333,27,2022
23240,Queens Rd & Hopedale Ave,35.1962881,-80.8277498,35.83333333,9.583333333,27,2022
23250,Queens Rd @ Queens Towers Apts,35.1972895,-80.8285078,1.166666667,9.083333333,27,2022
23260,Queens Rd & Hopedale Ave,35.1963201,-80.8280861,12.91666667,23.58333333,27,2022
23280,Queens Rd & Pembroke Ave,35.1944259,-80.8279588,6.083333333,10.75,27,2022
23310,Queens Rd & Pembroke Ave,35.1945846,-80.8276643,6.666666667,9,27,2022
23520,Charlotte Douglas Airport,35.2211166,-80.9430935,1823.916667,635.6666667,31,2022
23590,Randolph Rd & Caswell Rd,35.2103236,-80.8240546,211.3333333,48,31,2022
23600,Randolph Rd & Colonial Ave,35.208861,-80.8226848,377,53.41666667,31,2022
23610,Randolph Rd & Colonial Ave,35.2086313,-80.8225656,83.25,334.75,31,2022
23615,Randolph Rd & Chase St,35.2075929,-80.8215721,4,13.41666667,31,2022
23620,Randolph Rd & Chase St,35.207471,-80.8213211,7.666666667,5.916666667,31,2022
23650,Randolph Rd & Van Ness St,35.2057991,-80.819832,3.416666667,15.41666667,31,2022
23660,Randolph Rd & Van Ness St,35.2057108,-80.819608,18.33333333,10,31,2022
23670,Randolph Rd & Laurel Ave,35.2048755,-80.8188093,12.58333333,5.166666667,31,2022
23680,Randolph Rd & Laurel Ave,35.2039515,-80.8180673,3,8.583333333,31,2022
23690,Randolph Rd & Dotger Ave,35.2028456,-80.8170131,4.583333333,9.25,31,2022
23700,Randolph Rd & Dotger Ave,35.2026231,-80.8166458,10.75,3.75,31,2022
23710,Randolph Rd & Museum Plaza,35.2002901,-80.8137575,16.5,83.75,31,2022
23720,Randolph Rd & Cranbrook Ln,35.2002918,-80.8136291,93.5,18,31,2022
23760,Randolph Rd & Billingsley Rd,35.1912116,-80.8108703,36.41666667,11.25,31,2022
23770,Randolph Rd & Billingsley Rd,35.1912013,-80.8110446,0.833333333,14.16666667,23,2022
23780,Randolph Rd @ Randolph Park,35.1929076,-80.8109616,0,0,21,2022
23790,Randolph Rd & Wendwood Ln,35.1880831,-80.8100183,37.25,6.166666667,31,2022
23800,Randolph Rd & Meadowbrook Rd,35.1878116,-80.8100516,13.66666667,33.5,31,2022
23860,Randolph Rd & Canterbury Rd,35.1823518,-80.8061366,1.833333333,14.25,31,2022
23910,Randolph Rd & Canterbury Rd,35.1819301,-80.8056146,17.83333333,1.916666667,31,2022
23940,Randolph Rd & Cheltenham Rd,35.1795489,-80.8030283,2.25,28.66666667,31,2022
23960,Randolph Rd & Woodlark Ln,35.1793668,-80.8025876,7,1.666666667,31,2022
23980,Randolph Rd & Sharon Amity Rd,35.1746238,-80.7978081,5.333333333,10,23,2022
23990,Randolph Rd & Greenwich Rd,35.1780313,-80.8006528,641.75,53,31,2022
23991,Randolph Rd & Sam Drenan Rd,35.1982806,-80.8109591,43.58333333,31.58333333,31,2022
24020,Randolph Rd & Sharon Amity Rd,35.1767163,-80.7990921,2.5,2.75,18,2022
24030,Randolph Rd & Sharon Amity Rd,35.176515,-80.798656,203.6666667,127.1666667,31,2022
24050,Randolph Rd & Gaynor Rd,35.1746308,-80.7976568,7.25,4.75,23,2022
24080,Randolph Rd @ 4801,35.1715013,-80.7964485,0,0,23,2022
24090,Randolph Rd & Beckham Ct,35.1687779,-80.7954921,0.083333333,6.75,23,2022
24110,Randolph Rd & Hunter Ln,35.1684181,-80.7952251,7.75,0.75,23,2022
24130,Randolph Rd & Rembrandt Cir,35.1658376,-80.7942695,2.5,0.083333333,23,2022
24150,Randolph Rd & Willhaven Dr,35.1640765,-80.792498,3.083333333,3.916666667,23,2022
24160,Randolph Rd & Shasta Ln,35.1637456,-80.7919936,2.75,0,23,2022
24190,Randolph Rd & Sardis Rd,35.1607599,-80.7874278,22.66666667,2.666666667,23,2022
24280,Rea Rd & Reacroft Dr,35.1038982,-80.8079466,4.333333333,0,23,2022
24281,Colony Rd & Wisley Blvd,35.106523,-80.808235,10.08333333,29.41666667,23,2022
24282,Colony Rd & Wisley Blvd,35.106585,-80.808096,27.91666667,3.666666667,23,2022
24283,Colony Rd & Abbotswood Dr,35.11408,-80.804805,2,0,22,2022
24284,Colony Rd & Abbotswood Dr,35.114183,-80.804956,0.25,2.083333333,23,2022
24285,Rea Rd & Reacroft Dr,35.1037859,-80.8081874,0.083333333,4.5,23,2022
24286,Colony Rd & Morrowick Rd,35.119203,-80.807748,10.41666667,0.416666667,22,2022
24287,Colony Rd & Morrowick Rd,35.119442,-80.807962,0.333333333,6.333333333,23,2022
24290,Rea Rd & Macandrew Dr,35.1000466,-80.8089223,0.333333333,0,23,2022
24300,Rea Rd & Carmel Estates Rd,35.096779,-80.809643,8.75,2.083333333,23,2022
24315,Rea Rd & Pineville-Matthews Rd,35.086279,-80.8121126,1.583333333,3.5,23,2022
24316,Rea Rd & Pineville-Matthews Rd,35.086301,-80.811863,14.83333333,6.916666667,23,2022
24320,Rea Rd @ Calvary Park & Ride,35.0819303,-80.81347,3.416666667,0,23,2022
24330,Rea Rd & Bevington Pl,35.0783608,-80.8165038,10.08333333,4.583333333,23,2022
24340,Rea Rd & Old Course Dr,35.0712728,-80.8192458,5,0.166666667,23,2022
24350,Rea Rd & Piper Glen Dr,35.0671561,-80.8177906,16.91666667,4.666666667,23,2022
24360,Rea Rd & Ballantyne Commons Pkwy,35.0598013,-80.8128608,9.083333333,31.83333333,23,2022
24370,Rea Rd & Piper Station Dr,35.0611926,-80.8134773,24.08333333,4.083333333,23,2022
24470,Remount Rd & Baltimore Ave,35.2064198,-80.8705766,51.58333333,165.0833333,31,2022
24490,Remount Rd & Tryon St,35.2064431,-80.8703637,205,59.41666667,31,2022
24510,Remount Rd & Brookhill Rd,35.2085476,-80.8729395,123.75,38.58333333,31,2022
24520,Remount Rd & Toomey Ave,35.2087738,-80.873423,59.66666667,84.75,31,2022
